debugnonce_start:  3000000000
Mining block template, height 828267...
header:  b'\x00\x00\x00 \xb92g\x89\x93`a\x9f\t\xbc\x18\x88\xfay\x9ag\t:/\xbb4+\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\xc5\xbb.R\xd4\x98\xe1\xcc\x80\x03\x91\x9f\xfb7\xe3\xf2j\x1f\x84f:\x85/\xad\x81\x9b\xca,\xb6z\tF\xd6\x82\xbaeZ\x00\x04\x17\x00\x00\x00\x00'
3000000000   1ea6302442cfee102db73cb9e92ecb28db235a2c2dfe732a9e9a4d545787dd1f   00000000000000000004005a0000000000000000000000000000000000000000
3001000000   21d7186fc1924c466968f05d4fa976ab7d90721b519d3afb532178b7e9cf3f58   00000000000000000004005a0000000000000000000000000000000000000000
3002000000   c5aff16d00007b1c5191e6a974e1551e56c0f113d45d954ec4102694fd76b70a   00000000000000000004005a0000000000000000000000000000000000000000
3003000000   caa6110913f9a2317184df8308152479b5ba78697c8a42c099d9db0c15e691b8   00000000000000000004005a0000000000000000000000000000000000000000
3004000000   5c6f7ab2a3e36db1907b0038bd9b0f657ecd20afed2d2b6a64338f2cf5c03633   00000000000000000004005a0000000000000000000000000000000000000000
3005000000   c0cdf593cebb9ffda4b92f099ee103ab9ab9ed5f257daffe0802ac5dff17b816   00000000000000000004005a0000000000000000000000000000000000000000
3006000000   8a438a65fb6364f38ae415ee3ef1ffa403941d337cf1874878864597e65b8095   00000000000000000004005a0000000000000000000000000000000000000000
3007000000   0e4c7b6f9d6b58fc6b77209213517a70fd44ba3235fe9d2468093daf121ee0c8   00000000000000000004005a0000000000000000000000000000000000000000
3008000000   06a408c08fc8c5bccdf6fd259f695733308bb65ad6a1f58d5c5e1d48ce2ad778   00000000000000000004005a0000000000000000000000000000000000000000
3009000000   8be0975d6160b44823acdc574b86f056246976fc89b94db6f926461d8ece7da3   00000000000000000004005a0000000000000000000000000000000000000000
3010000000   0b5107abb8e14b436226773470f5a8b726bf70f77cdc55d079b58e090a08401d   00000000000000000004005a0000000000000000000000000000000000000000
3011000000   8b284d5784f45695f1e0d7b00199b51fbf5156b33f591d31f81fcc09f5281561   00000000000000000004005a0000000000000000000000000000000000000000
3012000000   af24b6cd2ff3c1b805a3ee31101b8c8838448178d6c42fb21dd163ad06f28698   00000000000000000004005a0000000000000000000000000000000000000000
3013000000   35991c3e723be4f179186fbe5e24bc502530bd125a9a2a3ada7fd87fddeac2c6   00000000000000000004005a0000000000000000000000000000000000000000
3014000000   3760c75bc67b55b1e1dba58eb968cc2ba59888120afb6694a98435c283ac96f1   00000000000000000004005a0000000000000000000000000000000000000000
3015000000   5065a2d6cf9dbd8cfce27626689d02d77bd1a98147ff046ac192d5ca1be77f87   00000000000000000004005a0000000000000000000000000000000000000000
3016000000   b7bdaa353be311fdfd81b641f378978aff3ed4551006301c0e1f54ae9864b1c7   00000000000000000004005a0000000000000000000000000000000000000000
