debugnonce_start:  3000000000
Mining block template, height 828267...
header:  b'\x00\x00\x00 \xb92g\x89\x93`a\x9f\t\xbc\x18\x88\xfay\x9ag\t:/\xbb4+\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\xfccH\xa8\xd5\x1e)<b\xb9\xf9z\xc7\xd1\x08u\x0f\x02\x88\x9e\x12l\xea\xae\x7f\x8f@\xdf\x15\xf4x\xc0\xd6\x82\xbaeZ\x00\x04\x17\x00\x00\x00\x00'
3000000000   44684092c4aa43585dd41d5706c5d3acf4695e6a355e5281d6aabcb667fbd00a   00000000000000000004005a0000000000000000000000000000000000000000
3001000000   b00a1dc3019f66607fc209d587343d4d6116d8c6bbc5a5a823a93a6f2baf6520   00000000000000000004005a0000000000000000000000000000000000000000
3002000000   d90ef17994041e8a3ba8eb157a18f1706912f196f6f79eff6ee6f7f3598c9bff   00000000000000000004005a0000000000000000000000000000000000000000
3003000000   4ba54a0e092d55b23faccdc1615684c85c196ff6dca9f2d750bde420f3f58a34   00000000000000000004005a0000000000000000000000000000000000000000
3004000000   839f86dddfe8dff4afcf0ec25bc07a6c994207aac879a923b7f053e717df5479   00000000000000000004005a0000000000000000000000000000000000000000
3005000000   eff4ccc83f9e44c7374820b0c268e6ee112d96bcd668cabdca39f4004e831a91   00000000000000000004005a0000000000000000000000000000000000000000
3006000000   f212f4662d133e498626b6de05b49cd4bcdada4b2ec93993b88d0c5152032d37   00000000000000000004005a0000000000000000000000000000000000000000
3007000000   3230b31109dc8de1bae5ed0445cdc435532d296871153142fda5c6d2cd3aa50b   00000000000000000004005a0000000000000000000000000000000000000000
3008000000   3b25bd96ca58749a3f19deb3aed44407e7f2982a74a7d0fc0efb69b434df8854   00000000000000000004005a0000000000000000000000000000000000000000
3009000000   6749fa574b49f96d50782d4fe203f9928aa1590d3fe327926e5a5a5c5e756025   00000000000000000004005a0000000000000000000000000000000000000000
3010000000   4760d5ee2da055539c4afe8e4cf71eb8d0f4601b288e2c293274aa8fd5bcb827   00000000000000000004005a0000000000000000000000000000000000000000
3011000000   6dfe464d5eb53693598c578eb6cea6c6c37ce8136a263a43331ec83a9eeced39   00000000000000000004005a0000000000000000000000000000000000000000
3012000000   22ef4ff0f1f9f68c4fb07972344826002874469df8918cd59f4743f46cb1ab33   00000000000000000004005a0000000000000000000000000000000000000000
3013000000   b33c429b2319b86075b69501eca20251c4f7cdb53e84dc33055858357e3fc38b   00000000000000000004005a0000000000000000000000000000000000000000
3014000000   1a16d760774b8a6a833443a2ba1e6d437df09ff373cb79bbd74e8b208e0ae668   00000000000000000004005a0000000000000000000000000000000000000000
3015000000   83afa3adad5f24b8ebaad0d925416ca8f62b790be212dda5a3a80987d76f0fce   00000000000000000004005a0000000000000000000000000000000000000000
3016000000   1f8da9e7fda2150df479750f8bd80e524311dae108b8b5313a0242408bbca551   00000000000000000004005a0000000000000000000000000000000000000000
3017000000   50987c896908b6541339a2eabaf1419b834c6dc6b588662667daca5f0b5e76e4   00000000000000000004005a0000000000000000000000000000000000000000
3018000000   707d0dafd80b854fa38113da4b1fbac49b8d0c76627bd8b5523ee7c5df7af59f   00000000000000000004005a0000000000000000000000000000000000000000
3019000000   2b7689e63cdf8a9d1ec55277443dd5ec39ea998054b1c5c47b4851fb2df3a920   00000000000000000004005a0000000000000000000000000000000000000000
3020000000   0038f3b7868b3dbb27910587a4b6b0431e6c2f1090594d1fef0a60b668f5aefe   00000000000000000004005a0000000000000000000000000000000000000000
3021000000   872fa3fcf81522029ba73bcf3172d3afd61f0d4f8fdea0cb75b2a40b242d15d0   00000000000000000004005a0000000000000000000000000000000000000000
3022000000   4a6917313a6bc9524b800d3db0b690f651af9a4277aff4aafc494256c69fccdf   00000000000000000004005a0000000000000000000000000000000000000000
3023000000   de95503b4dcabb6111d3f989e7700046120d78e546ebf1a3c6782f550e54077c   00000000000000000004005a0000000000000000000000000000000000000000
3024000000   3805d90f79dbfecfd266f7b1440691881d08283907ed74dbe35990cc94a0c663   00000000000000000004005a0000000000000000000000000000000000000000
