debugnonce_start:  3000000000
Mining block template, height 828267...
header:  b'\x00\x00\x00 \xb92g\x89\x93`a\x9f\t\xbc\x18\x88\xfay\x9ag\t:/\xbb4+\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\xb23\x9617\r\xf7T\x84\x19\xa5t4j,|\x15i$\xa0}8\xee\xb1\xa3jX\xa3\xcc@Y\xbf\xd6\x82\xbaeZ\x00\x04\x17\x00\x00\x00\x00'
3000000000   b447d819e391c9322a1c7333c3034c96bf87d5afbfe15e3e8638a894385e61da   00000000000000000004005a0000000000000000000000000000000000000000
3001000000   e27e7eb8d4c533c8ed522f88ed747012056394179e5b5a663ed461fe0397acb8   00000000000000000004005a0000000000000000000000000000000000000000
3002000000   4dce2c19ccb0bc71b73ecef48a8beafec7e758a89aa0292f7240cecdeac6d2ef   00000000000000000004005a0000000000000000000000000000000000000000
3003000000   9b5da49b1785c81539500a43eee48096cb661aa4182cbaacc7cce35e88147560   00000000000000000004005a0000000000000000000000000000000000000000
3004000000   a9bdd4413bad795beb8498de5c8c0b36499a131c6433afcf70738afd8a022e62   00000000000000000004005a0000000000000000000000000000000000000000
3005000000   37b796a7fcf46a822ded84e2a55b95ee61a7bf6a3085d1f1490ca98fe74c3144   00000000000000000004005a0000000000000000000000000000000000000000
3006000000   8cc71063eb839656660f72f198d7b7970833e512a40b9b366a3e277b26121149   00000000000000000004005a0000000000000000000000000000000000000000
3007000000   6fd1efe2b3de488c7a5ad4c4aaac023ce57d0e68f84f34963f3e7eb3ab32d382   00000000000000000004005a0000000000000000000000000000000000000000
3008000000   67fe6825cb42f246ea690bd039b383c8a0ce02246190e84e2bc7d5614d4b299b   00000000000000000004005a0000000000000000000000000000000000000000
3009000000   1788d5ae869b0da2e1a82b423ec73227a988ec8fd32d14199bd1b5f7b480237c   00000000000000000004005a0000000000000000000000000000000000000000
3010000000   2714f1600dc8bfa50828e01c02cf54dff257e0e1b1f9e2bde53733f782ce97fa   00000000000000000004005a0000000000000000000000000000000000000000
3011000000   206f6c37abbef6ab66fabc79c970c5a61821410b5e85794ebc558a9dae2dcb14   00000000000000000004005a0000000000000000000000000000000000000000
3012000000   da1bcd5eabb6c3bc9f39cecb1e295218239c31268d806013c8f8f9e7fc7dcb57   00000000000000000004005a0000000000000000000000000000000000000000
3013000000   cce2cf8a515a766ebaab85c7bca62da1705b0c1986168dfee69cb63e3cd7ebc4   00000000000000000004005a0000000000000000000000000000000000000000
3014000000   b57adfed9a6b30602acedee661dd37625c0279f4aa9fe936c428de032afbb179   00000000000000000004005a0000000000000000000000000000000000000000
3015000000   ed27e016dd7d87a1a6c6e5ce1105d43b540afcb5f81365e416e2e79127db9fc7   00000000000000000004005a0000000000000000000000000000000000000000
3016000000   1d244408fc9c8c73595ff1f139ab22ccde015827d23c24ef37a2876eb87660d1   00000000000000000004005a0000000000000000000000000000000000000000
3017000000   bd3b23fe63524350d583e0258da24ac76788e33a4abfcb13365ec8e239970818   00000000000000000004005a0000000000000000000000000000000000000000
3018000000   0472c47d2a2345b9f7096bb107a25e6b937d928729c8ef0c30189739d826f878   00000000000000000004005a0000000000000000000000000000000000000000
3019000000   f26af5c7a39d4425581d387c1c2a6d3a3196ed15cf405eceeddae3d89c21668c   00000000000000000004005a0000000000000000000000000000000000000000
3020000000   1de6dc77f7f966e2fad8e7c910f505e61f0f2fcdf86de69707d270d6f80788ea   00000000000000000004005a0000000000000000000000000000000000000000
3021000000   0cb91da5074ef81185fb585db82b9f722e2020544917759971911bf8a077eb3f   00000000000000000004005a0000000000000000000000000000000000000000
3022000000   0db9f94bce235328e72efc16bcceba62eff7dcdb08fa098cb47184ff27c56330   00000000000000000004005a0000000000000000000000000000000000000000
3023000000   8e7f61e2b703288ea2335fd86a2c3aad3c103c39d146d084ee5f352c4b76740b   00000000000000000004005a0000000000000000000000000000000000000000
3024000000   f24c371b3ea41d6bcfddfb69d097e0b893155302e335a8d0f85bd5cb29fc1465   00000000000000000004005a0000000000000000000000000000000000000000
3025000000   28d4dfe49ace1ba8e9201acf81e9833547a2d9c302b3ea6eef4ee5d2339ef2bd   00000000000000000004005a0000000000000000000000000000000000000000
3026000000   c2764776843aba1617a97312bd73caa178d85b66b42b566b9613d2a0843d5533   00000000000000000004005a0000000000000000000000000000000000000000
3027000000   02729000a7c8e1c6efbd6382836de2073bba2569673325e943bd6d44b9db3119   00000000000000000004005a0000000000000000000000000000000000000000
3028000000   c149b52139427c9e3bf105e72854927ba0e19affb0e8057b8b58e13d1082fed5   00000000000000000004005a0000000000000000000000000000000000000000
3029000000   2e96581e6b56e069c3da389728754e05a848faa3ceb48947d9ffeff6520ea23a   00000000000000000004005a0000000000000000000000000000000000000000
3030000000   266fe6180b24aebb5b6b692a7e1a07d38fad23a0f07aece21c6c1cc0bf9a24cf   00000000000000000004005a0000000000000000000000000000000000000000
3031000000   a78b91ba55f9e9da6db4cbc765b0f8e22c4b2fdcc5cccb483b98554a66d8e1d6   00000000000000000004005a0000000000000000000000000000000000000000
3032000000   216e3011592f26d30cfb71d6f457bb7b5eb5c85ad987e2ffd4a1c6b21ce1c7ed   00000000000000000004005a0000000000000000000000000000000000000000
3033000000   cfb157d2bf792c32272106388511fef7a8f1982c8899ac46aac64c31411bbc4e   00000000000000000004005a0000000000000000000000000000000000000000
