debugnonce_start:  3000000000
Mining block template, height 828267...
header:  b'\x00\x00\x00 \xb92g\x89\x93`a\x9f\t\xbc\x18\x88\xfay\x9ag\t:/\xbb4+\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\xf8\xe8\xca\x98D\x17Ek\xd1nt\xd2\x84\x89\xaaa\xd3\xf5Vl\xe9\xe8\xcc\x85\x8e^\xcf\x94\xcf\x1c[A\xd6\x82\xbaeZ\x00\x04\x17\x00\x00\x00\x00'
3000000000   682dd57e0f0f5cc8bf6197aa502a1df1a22850511aa38111837af281c2bb21d9   00000000000000000004005a0000000000000000000000000000000000000000
3001000000   46165946c9ed502739f698532b514100c99e00c5b5acf91b69a3eb11fd43a521   00000000000000000004005a0000000000000000000000000000000000000000
3002000000   81aa5456a13016789188d7a3b7dc335448ebe0cec68f36a60b20d44a62d741cd   00000000000000000004005a0000000000000000000000000000000000000000
3003000000   be8f838a487d7e0b19d8a7e5f3a4d87707e7c03f9984ce1c00dba9d74022148e   00000000000000000004005a0000000000000000000000000000000000000000
3004000000   f8a958844b64d3e69aa26d71a0d0a54fa18eaadafae966bae0b0bb21835e0e2d   00000000000000000004005a0000000000000000000000000000000000000000
3005000000   246ed29ece679e6944b35222321c018cfbe6f26ee121bcb537e28b8a0ba0837b   00000000000000000004005a0000000000000000000000000000000000000000
3006000000   f39293143d3e0e6ec02d975d4daff2441ef353acb913f4a108c058b1c5d3c53f   00000000000000000004005a0000000000000000000000000000000000000000
3007000000   a6bf6ffbc870ae54e1259bd104832446dff95e78d9e4623852588216e5727b20   00000000000000000004005a0000000000000000000000000000000000000000
3008000000   9e90cae68a43662f49682c5e2f742fe214321953ba7e47cfbb46ea95efc5e89f   00000000000000000004005a0000000000000000000000000000000000000000
3009000000   c7e84bc538ed8b5f1bdcdf75fa455c3940b5954d66b6244b803c6bdadc6ad7f0   00000000000000000004005a0000000000000000000000000000000000000000
3010000000   d4cd4a9bccfeecf59899713ea651bb36f1b0da52b4b37b96486a89799290903b   00000000000000000004005a0000000000000000000000000000000000000000
3011000000   94b4504e24df9f5dc9772b35a099a20ec26f33aceec14c9f6cef0cf55685872f   00000000000000000004005a0000000000000000000000000000000000000000
