debugnonce_start:  3000000000
Mining block template, height 827636...
header:  b'\x00\x00\x00 06\xe7\x83&d\xbd\xbaj\xc0\xd5I.\x00;\xdb\xd4\x1dp@\xafd\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00D\xc3$\x84\x8bA\xbb,\xd1\xcd1\xd2\xceq\x0f\x8e\x8c\x863\x1a\xc3\x7fv\xf8\xab\x97c\x8c\xa56o,\x05\x11\xb5eZ\x00\x04\x17\x00\x00\x00\x00'
3000000000   b55a39396af5e15a4c27fd0a77bd08b05770eaea94093fb7cadd62f75ff1e20a   00000000000000000004005a0000000000000000000000000000000000000000
3001000000   d69cc823473082acb528a7431e35477357f6a6e66d418792c786c4abfa268e67   00000000000000000004005a0000000000000000000000000000000000000000
3002000000   1b46033c7079b67d49d1027f1aba114a3e451a87eae1f1978b60b0e1c8540317   00000000000000000004005a0000000000000000000000000000000000000000
3003000000   03a84a7dfae600747edff092cda88e71fa5037381a4717e8f6e149f429a73449   00000000000000000004005a0000000000000000000000000000000000000000
3004000000   bd9f4ef413ed30279f0809cbf2aad9ad6f7411d28a6147e4b14c8c88809466db   00000000000000000004005a0000000000000000000000000000000000000000
3005000000   e4ffacef04cfc32f79ad8a31249b150b9ac40db30a7fe5b5e9d6b1f8365609a8   00000000000000000004005a0000000000000000000000000000000000000000
3006000000   ac6bbe98dcdec8f1fdd90e21e99b0d84aaecbdc980483b19a114393ec44249e3   00000000000000000004005a0000000000000000000000000000000000000000
3007000000   8052d2b70270a75ef9a5ea5a0efee9fbb5364f68984d92aaa75065b116571244   00000000000000000004005a0000000000000000000000000000000000000000
3008000000   07fb8d23ae6fb37ec4ab20adad80d2a8c201daf5a9b6f031a955e7e716481c7b   00000000000000000004005a0000000000000000000000000000000000000000
3009000000   ea459b290237dc68215d4878471159213b56f3891dbf403266ceb56e04173464   00000000000000000004005a0000000000000000000000000000000000000000
